May 19 2025,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
kuben,162,Jakub Gurczynski,Poland,35,N/A,0.95,-49,169,4224,2599,2648,0.98,44.6,42.6,0.39,"{""2012"":0.91,""2013"":0.97,""2017"":0.4,""2018"":0.38,""2022"":0.9}",56,"[""8362/MAD Lions"",""5378/Virtus.pro"",""4532/ESC"",""4104/ESC Gaming"",""47/Poland"",""4007/AGAiN"",""507/Frag eXecutors"",""205/Pentagram""]",0,0,0,12,0,0,0,N/A
Loord,163,Mariusz Cybulski,Poland,36,N/A,0.89,-651,374,9545,5837,6488,0.9,41.2,48.8,1.09,"{""2012"":1,""2013"":1,""2014"":0.84,""2015"":0.82,""2016"":0.81,""2017"":0.59,""2018"":0.82,""2022"":0.64}",109,"[""10968/cowana"",""6134/Kinguin"",""6372/CSGL"",""5599/Dobry&Gaming"",""5613/INSHOCK"",""5211/MYM"",""4532/ESC"",""4104/ESC Gaming"",""47/Poland"",""4007/AGAiN"",""507/Frag eXecutors"",""205/Pentagram""]",0,0,0,14,0,0,0,N/A
NEO,165,Filip Kubski,Poland,36,N/A,0.95,-1558,2037,53165,34508,36066,0.96,37.8,72.1,0.94,"{""2012"":1.12,""2013"":1.06,""2014"":1.02,""2015"":1.02,""2016"":0.95,""2017"":0.92,""2018"":0.86,""2019"":0.86,""2020"":0.87,""2021"":0.87,""2022"":0.83}",669,"[""11937/NEO's Team"",""10737/HONORIS"",""10494/ARCY"",""6667/FaZe"",""7175/Heroic"",""9698/2019"",""5378/Virtus.pro"",""5137/Poland"",""4857/All-Stars Europe"",""5936/kassad's Legends"",""5585/GO4Balkan"",""5274/AGAiN"",""4533/UniversalSoldiers"",""4532/ESC"",""4742/Nostalgie"",""4747/Netcode Illuminati"",""4313/place2play.ru"",""4104/ESC Gaming"",""47/Poland"",""4007/AGAiN"",""507/Frag eXecutors"",""2597/Team D"",""934/AllStars #2"",""205/Pentagram""]",1,14,12,94,2,1,0,17
cogu,168,Raphael Camargo,Brazil,38,N/A,0.95,-74,89,2344,1528,1602,0.95,29.9,70.2,0.87,"{""2012"":0.89,""2016"":0.98,""2017"":0.93,""2018"":0.87}",32,"[""9035/VNS Sushi Rão"",""7880/Gorilla Core"",""7010/Immortals"",""6619/INTZ"",""6205/Brazil"",""6770/Apoka Academics"",""4580/ProGaming.TD"",""84/Made in Brazil"",""933/AllStars #1"",""4326/America""]",0,0,0,0,0,0,0,N/A
nak,169,Renato Nakano,Brazil,36,N/A,0.92,-700,519,13439,8234,8934,0.92,44.6,70.8,0.81,"{""2015"":0.87,""2016"":0.97,""2017"":0.97,""2018"":0.95,""2019"":0.84,""2020"":0.9,""2021"":0.61,""2022"":0.82}",140,"[""3044/MIBR Academy"",""11929/AFundaa"",""9215/MIBR"",""8902/DETONA"",""7176/RED Canids"",""8113/Sharks"",""7613/Red Reserve"",""6133/Orbit"",""6618/CNB"",""6290/Luminosity"",""6864/WinOut"",""6033/Keyd"",""2261/semXorah"",""4014/mandic"",""3214/compLexity"",""2259/FireGamers"",""84/Made in Brazil"",""85/G3neration X""]",0,0,0,0,0,0,0,N/A
spacca,170,Guilherme Spacca,Brazil,33,N/A,0.96,15,291,7469,4628,4613,1,28.7,64.4,N/A,"{""2016"":1.01,""2017"":1.02,""2018"":0.92}",87,"[""8297/FURIA"",""7614/Merciless"",""6618/CNB"",""4046/GameCrashers"",""3688/paiN"",""2518/CNB"",""84/Made in Brazil"",""2259/FireGamers"",""4322/Team83"",""1418/vsONE"",""916/exotic.br"",""4325/GC.br""]",0,0,0,0,0,0,0,N/A
solo,174,Keun-Chul Kang,Korea,35,1.04,N/A,90,369,9364,6338,6248,1.01,47,75.2,0.85,"{""2016"":1.07,""2017"":1.01,""2018"":0.98,""2019"":0.96}",125,"[""7354/MVP PK"",""8991/CAS Lore"",""3446/redCode"",""903/WeMade FOX"",""2621/Earth"",""2595/Team B"",""1458/All-Star Team B"",""575/project_kr"",""247/Hacker.project""]",0,0,0,7,0,0,0,N/A
termi,175,Seon-Ho Pyeon,Korea,37,1,N/A,-75,63,1587,1034,1109,0.93,43.9,71.6,N/A,"{""2016"":0.77,""2017"":0.94,""2018"":1.09}",16,"[""7354/MVP PK"",""575/project_kr"",""903/WeMade FOX"",""2621/Earth"",""247/Hacker.project""]",0,0,0,0,0,0,0,N/A
Jewelry,177,Nan Wang,China,38,N/A,0.97,-183,301,7711,5338,5521,0.97,43.6,75.7,0.87,"{""2015"":0.49,""2016"":1.02,""2017"":0.97,""2018"":0.98,""2019"":0.78}",96,"[""9544/NIRVANA"",""7092/5POWER"",""4865/New4"",""6747/EDG"",""5806/pow""]",0,0,0,0,0,0,0,N/A
Savage,180,Bin Liu,China,34,N/A,1.08,1926,836,21434,15647,13721,1.14,37,78.2,0.96,"{""2015"":1.21,""2016"":1.15,""2017"":1.11,""2018"":1.01,""2019"":1,""2020"":0.89,""2021"":0.8}",332,"[""11081/TCG"",""10648/Wubbalubbadubdub"",""7092/5POWER"",""9872/Panda"",""6503/CyberZen"",""9030/Fierce Tiger"",""7606/ViCi"",""7611/VG.Renascence"",""6773/VG.CyberZen"",""2063/TyLoo"",""220/TyLoo.raw""]",0,0,0,0,0,0,0,N/A
Irukandji,192,Andrew Timmerman,United States,N/A,N/A,0.79,-52,13,308,174,226,0.77,44.3,66.5,0.97,"{""2014"":0.72,""2016"":0.83}",1,"[""5752/Cloud9"",""5473/Manajuma"",""1567/Evil Geniuses"",""2534/Frag Dominant"",""3167/POV.wp"",""2110/iDemise"",""222/compLexity.us"",""2773/ESEA East All-Star"",""1953/x3o"",""558/Desire 2 Excel""]",0,0,0,0,0,0,0,N/A
