May 19 2025,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
malik,13479,Artyom Arhipov,Russia,28,1,N/A,-176,235,6249,4165,4341,0.96,55,74.3,0.97,"{""2017"":0.97,""2018"":0.96,""2019"":1.01,""2020"":0.81,""2021"":0.83,""2022"":0.81}",68,"[""11799/POLET"",""11347/Storm Wolves"",""11129/bankaPEPSI"",""10807/bezotca"",""10594/SpeedRunners"",""10598/cisbots"",""10563/GNS"",""10189/Moscow CreepZ"",""7819/teamasd"",""10242/Anime Cheats"",""7734/16yotalents"",""9182/Monolith"",""7489/EPG"",""8135/FORZE"",""8723/HEY"",""5988/FlipSid3"",""8604/CIS.PRO"",""7427/eL'quvet"",""8459/Fantazeri"",""6448/Revival"",""7488/Gambit Academy"",""12538/Team mopoz""]",0,0,0,0,0,0,0,N/A
Lucky,13497,Lucas Chastang,France,27,1.09,1.02,1843,1919,49330,33414,31571,1.06,42.5,76.7,0.99,"{""2017"":0.97,""2018"":1.12,""2019"":1,""2020"":1.03,""2021"":1.03,""2022"":0.96,""2023"":0.99,""2024"":1}",660,"[""12260/Looking4Org"",""12084/Team NadeKing"",""11501/HEET"",""11003/DBL PONEY"",""8346/Heretics"",""10923/wonderman"",""5995/G2"",""4914/3DMAX"",""9099/NOBO"",""7009/MeMyself&I"",""7242/dizLown"",""8765/2FAST2FURIOUS"",""6131/beGenius"",""7667/RANKS""]",0,3,0,17,0,0,0,N/A
luther,13504,,France,N/A,0.37,N/A,-10,1,18,6,16,0.38,66.7,31.7,N/A,"{""2017"":0.4}",0,"[""6375/Vexed""]",0,0,0,0,0,0,0,N/A
Reality,13521,Riley Fusch,United States,25,1.01,N/A,-109,179,4631,2964,3073,0.96,45.1,72.1,N/A,"{""2017"":0.79,""2018"":0.88,""2019"":0.99,""2020"":0.99,""2021"":0.74,""2022"":0.92}",78,"[""11571/Gaimin Gladiators"",""11075/ChocoCheck"",""11333/NA's Finest"",""10463/Recon 5"",""10565/ex-iNTACT"",""9176/iNTACT"",""10260/Sadboyz"",""9974/GGPR"",""9024/RMU"",""8156/Heaven's Devils"",""7689/Wisefrag""]",0,0,0,0,0,0,0,N/A
3nable,13547,Muhammad-Ridzuan Hazi,Malaysia,24,0.92,N/A,-150,49,1303,753,903,0.83,45.3,66.3,N/A,"{""2017"":0.82,""2018"":0.99}",16,"[""6109/MVP.karnal"",""7421/Fire Dragoon"",""5013/Orange"",""12418/Revenant""]",0,0,0,0,0,0,0,N/A
bLazE,13557,Josh Saunders,South Africa,26,1,N/A,-111,194,5048,3292,3403,0.97,53.4,72.3,0.63,"{""2017"":0.95,""2018"":0.97,""2019"":0.97,""2020"":0.93,""2021"":0.89,""2022"":0.97,""2023"":1.12,""2024"":1.22}",74,"[""11667/Nixuh"",""5158/Bravado"",""9943/ATK"",""5153/Energy"",""8111/Big 5"",""7647/Exdee"",""12941/Punishers""]",0,0,0,0,0,0,0,N/A
PPOverdose,13564,Phakhin Jaroenthanajinda,Thailand,29,1.06,0.99,-106,292,7518,5283,5389,0.98,41.4,79.6,N/A,"{""2017"":1.02,""2018"":0.93,""2019"":1.03,""2020"":0.97,""2021"":1.07}",83,"[""10675/ZIGMA"",""8220/Maple"",""10419/MiTH.Maple"",""6774/Signature"",""7839/NSPR"",""6353/MiTH""]",0,0,0,0,0,0,0,N/A
CaNNiE,13566,Hubert Ludwig,Czech Republic,24,1.05,N/A,-45,222,5830,3942,3987,0.99,28.8,72.4,0.76,"{""2017"":1.02,""2018"":1.02,""2019"":0.93,""2020"":0.96}",65,"[""10577/SINNERS"",""10521/Owned"",""10298/:thinking:"",""10231/N1ceTry"",""7842/Dark Tigers"",""10145/Czeska wladza"",""10065/MishMish"",""7339/KPI"",""9246/warmup"",""7169/fnatic Academy"",""7931/GAMERZ RED"",""8764/SSD"",""5412/eSuba"",""4970/eEriness"",""5695/GUNRUNNERS""]",0,0,0,0,0,0,0,N/A
Blogg1s,13567,Dominik Janita,Czech Republic,25,1.08,1.07,1015,545,14372,10150,9135,1.11,31.3,71.7,0.96,"{""2017"":1.1,""2018"":0.91,""2019"":1.06,""2020"":0.99,""2021"":1.08,""2022"":1.08,""2023"":1.1,""2024"":0.97}",226,"[""10695/Sampi"",""5412/eSuba"",""5117/Czech Republic"",""7842/Dark Tigers"",""6745/eXtatus"",""8763/Gravity"",""7441/ECLOT"",""5695/GUNRUNNERS"",""10851/Wings Up"",""12267/UNiTY""]",0,0,0,0,0,0,0,N/A
AJTT,13568,Filip Dolenský,Czech Republic,23,1.01,N/A,-240,473,11910,7716,7956,0.97,45.7,72.4,0.7,"{""2017"":0.92,""2018"":0.89,""2019"":1.02,""2020"":1,""2021"":1.03,""2022"":1.01,""2023"":0.91,""2024"":0.89}",144,"[""10831/Entropiq"",""11147/Entropiq Prague"",""9139/BRUTE"",""10577/SINNERS"",""9394/VENI VIDI VICI"",""8763/Gravity"",""4970/eEriness"",""5695/GUNRUNNERS"",""8637/Sprout"",""12369/Sprout Academy""]",0,0,0,0,0,0,0,N/A
Valencio,13569,Vojtěch Mydlář,Czech Republic,24,0.99,0.95,-675,568,14917,9659,10334,0.93,51.3,72,1,"{""2017"":0.82,""2021"":1.03,""2022"":0.95}",176,"[""7441/ECLOT"",""5117/Czech Republic"",""6576/Majestic Lions"",""5695/GUNRUNNERS""]",0,0,0,0,0,0,0,N/A
xizy,13575,Brad White,United States,25,1.06,N/A,2,15,394,270,268,1.01,44.8,75.3,0.9,"{""2017"":1,""2018"":0.84}",6,"[""9083/Frail Patrol"",""8060/Velocity"",""8038/Party Astronauts"",""6811/Broken Alliance"",""7861/Doxxa""]",0,0,0,0,0,0,0,N/A
Grim,13578,Michael Wince,United States,24,1.1,1.05,1100,1334,34028,24327,23227,1.05,49,78,1,"{""2017"":1.16,""2018"":0.97,""2019"":1.06,""2020"":1.16,""2021"":0.94,""2022"":1.06,""2023"":1.02,""2024"":0.99}",385,"[""5005/Complexity"",""12005/TBB"",""11822/Gas Money"",""5973/Liquid"",""11362/Now you know"",""10304/Triumph"",""9799/Bad News Bears"",""10164/Riot Squad"",""9785/The Quest"",""10274/Binturong Boys"",""9566/Spacestation"",""9769/Misfits and Digenerates"",""9681/Southern Roofing"",""8718/AZIO"",""5422/Dignitas"",""5670/ownage"",""8384/SoaR"",""7157/Rogue"",""6811/Broken Alliance""]",0,5,0,29,1,0,0,N/A
Spongey,13589,Gabe Greiner,United States,24,1.06,1.02,1023,864,22435,14838,13815,1.07,50.9,71.3,0.89,"{""2017"":1.16,""2018"":1.07,""2019"":1.03,""2020"":0.93,""2021"":1.02,""2022"":0.99,""2023"":1.02,""2024"":0.66}",401,"[""12241/WITHOUT WARNING"",""12005/TBB"",""11826/Vendetta"",""11914/Pete's Hookah Lounge"",""11822/Gas Money"",""11738/Doing Fun"",""9799/Bad News Bears"",""10304/Triumph"",""9785/The Quest"",""9917/Variance"",""9926/Chris and the boys"",""9176/iNTACT"",""9781/Fragging for Andy"",""9514/blitz"",""9227/Vision"",""8602/F1-racecar-PEEK"",""8523/ex-Morior Invictus"",""7723/Morior Invictus"",""12842/Retirement Home""]",0,0,0,0,0,0,0,N/A
evstyle,13597,Evie Pena,United States,N/A,0.87,N/A,-16,4,95,48,64,0.75,43.8,67.7,N/A,"{""2017"":0.82}",3,"[""7726/Swole Patrol""]",0,0,0,0,0,0,0,N/A
nicoodoz,13602,Nico Tamjidi,Denmark,24,1.12,1.07,3537,1408,35698,25905,22368,1.16,37.4,74.1,1.05,"{""2017"":0.98,""2018"":1.02,""2020"":1.08,""2021"":1.07,""2022"":1.07,""2023"":1.14,""2024"":1.08}",500,"[""12334/Preasy"",""4991/fnatic"",""11707/Team Flash"",""7461/Copenhagen Flames"",""6978/Singularity"",""10766/Tikitakan"",""10278/9INE"",""9661/BRZINA"",""8882/WE HAWT"",""6417/KoN Denmark"",""7957/pugstars"",""7167/Ground Zero"",""7786/Future$tars"",""7175/Heroic"",""7175/HEROIC"",""11571/Gaimin Gladiators"",""10503/OG"",""13001/Mission Possible"",""11712/Sashi""]",0,5,0,0,0,0,0,N/A
BluePho3nix,13618,Maoz Paz,Israel,24,1.04,N/A,-35,269,6146,4045,4080,0.99,56.4,73.2,N/A,"{""2017"":0.97,""2018"":1.01,""2021"":0.96,""2022"":1.08,""2023"":0.84,""2024"":0.95}",84,"[""10960/Young Ninjas"",""5077/Israel"",""4411/Ninjas in Pyjamas"",""9362/NOM"",""11857/JiJieHao International"",""7739/Uniquestars"",""8212/coREA"",""8909/Aequus"",""7737/RGB""]",0,0,0,0,0,0,0,N/A
shushan,13622,Shiran Shushan,Israel,27,1.1,N/A,377,198,5096,3698,3321,1.11,45.7,74.4,N/A,"{""2017"":1.01,""2018"":1.02,""2019"":1.1,""2020"":1.01,""2021"":1.02,""2022"":1.12,""2023"":0.71,""2024"":1.15}",63,"[""7532/BIG"",""10817/Invictus International"",""11985/ex-TITANS"",""5077/Israel"",""11001/ONYX"",""11258/HAPYJAMOT"",""10276/Finest"",""10766/Tikitakan"",""5873/Adaptation"",""8909/Aequus"",""10056/LFTOVER"",""8906/exDT"",""8212/coREA"",""7736/AOT"",""12640/Clоwnfiesta"",""12779/EXO"",""9362/NOM"",""11911/K10"",""10854/los kogutos"",""12459/Wu-Tang""]",0,0,0,0,0,0,0,N/A
Tactus,13625,Pavel Troyanovsky,Israel,31,0.89,N/A,-125,47,1202,671,796,0.84,24.4,58.6,0.96,"{""2017"":0.99,""2018"":0.82}",18,"[""8305/DreamEaters"",""7738/Netrunners""]",0,0,0,0,0,0,0,N/A
buue,13626,Noah Nethanel Türnpu,Israel,24,1.08,N/A,156,152,4015,2878,2722,1.06,48.2,80.4,1.02,"{""2017"":1.05,""2018"":1.03,""2019"":1.12,""2020"":0.99}",56,"[""10276/Finest"",""9362/NOM"",""8369/Smoke Criminals"",""7299/Asterion"",""7864/TTFU"",""7454/Gatekeepers"",""7738/Netrunners""]",0,0,0,0,0,0,0,N/A
BLACKEAGLE,13633,Moustafa Baghdadi,Syria,25,1.03,N/A,-58,114,3071,2122,2180,0.97,48.4,75.3,0.94,"{""2017"":0.97,""2018"":1.14,""2019"":0.95,""2020"":1.01,""2021"":0.98,""2022"":0.87}",44,"[""12166/Twisted Minds"",""11086/POGGERZ"",""11315/AlNasser"",""11283/Falcons"",""11103/19CM GANG"",""10855/HERCEGNOVI"",""11055/HLTZINC"",""10458/2115"",""10050/FFAmix"",""9020/Throw Potential"",""9808/ZePugGodZ"",""7727/Anonymous""]",0,0,0,0,0,0,0,N/A
ad3m,13657,Adam Siraj,Sweden,28,1.04,N/A,-41,75,1941,1336,1377,0.97,49.1,75,0.85,"{""2017"":1.12,""2018"":0.92,""2021"":0.5}",18,"[""8997/PAPERPLANES"",""9481/x6tence Galaxy"",""9428/Flygplan"",""6418/KoN Sweden"",""9298/topkek"",""8823/Wind and Rain"",""8531/gucciTiger"",""8184/CHUPAS"",""8215/KÄFTSMÄLL"",""7746/TrailerPark Boys""]",0,0,0,0,0,0,0,N/A
Siz,13665,Armin Sukurica,Sweden,24,1.08,N/A,39,36,811,581,542,1.07,55.4,75.7,N/A,"{""2017"":0.95,""2018"":1.49,""2022"":1.1,""2023"":1.06,""2024"":1.04}",18,"[""4413/Lemondogs"",""6418/KoN Sweden"",""7779/f'ckers"",""12576/Onliner5"",""12589/Onliners5"",""11321/Kappa Bar"",""7823/fightclub""]",0,0,0,0,0,0,0,N/A
Brollan,13666,Ludvig Brolin,Sweden,22,1.1,1.05,1257,1437,37069,26115,24858,1.05,52.7,77.9,1.06,"{""2017"":1.13,""2018"":1.05,""2019"":1.07,""2020"":1.08,""2021"":1.02,""2022"":1.03,""2023"":0.94,""2024"":1}",470,"[""4411/Ninjas in Pyjamas"",""7823/fightclub"",""4991/fnatic"",""7471/Vinkelparty"",""11073/kingkongflowers"",""10495/FACEIT Level Tenz"",""7613/Red Reserve"",""6902/GODSENT"",""6418/KoN Sweden"",""4688/Epsilon"",""6497/TzatzikiKlubben"",""7124/passions"",""8426/Kindest Regards"",""4606/BX3"",""4804/AWTR"",""7144/Japaleno"",""7586/VeritasAequitas"",""8307/A Walk To Remember"",""8184/CHUPAS"",""8174/Orimligt"",""7454/Gatekeepers"",""7931/GAMERZ RED"",""7909/Flaxbanan"",""7877/heliumsgrabbar"",""7822/GUCCIBANAN"",""7779/f'ckers"",""4494/MOUZ"",""12519/f4ceit4contract""]",0,6,4,52,1,2,0,15
Jackinho,13669,Jack Ström Mattsson,Sweden,26,1.04,N/A,334,690,16468,10969,10635,1.03,37,69.3,0.94,"{""2017"":0.98,""2018"":0.86,""2019"":0.92,""2020"":1.25,""2021"":0.97,""2022"":1.09,""2023"":0.99,""2024"":0.97}",219,"[""11425/PROSPECTS"",""12076/ZURIA"",""11826/Vendetta"",""12162/caffeine marauders"",""9735/Lilmix"",""12062/LAKAKA"",""11840/Hotspurs"",""11870/askars"",""10960/Young Ninjas"",""7823/fightclub"",""5133/Sweden"",""11278/Coalesce"",""11164/Into the Breach"",""11449/  FLINTBREEZE"",""4991/fnatic"",""7471/Vinkelparty"",""11133/Team Machine"",""10891/flowskola"",""11038/Tutsis Angels"",""10956/Broderna145"",""10614/Prima"",""10890/greshjerna"",""6897/visomvet"",""8214/naegt 2.0"",""10209/kombucha"",""10126/FOTW"",""9553/Orgles5"",""7613/Red Reserve"",""6685/Ancient"",""9097/Kepsilon"",""6418/KoN Sweden"",""7781/NAEGT"",""11641/Metizport"",""4548/CPH Wolves""]",0,0,0,0,0,0,0,N/A
nawwk,13670,Tim Jonasson,Sweden,27,1.12,1.11,5509,1608,41285,29899,24390,1.23,36,71.9,1.06,"{""2017"":0.96,""2018"":1.19,""2019"":1.12,""2020"":1.05,""2021"":1.01,""2022"":1.16,""2023"":1.12,""2024"":1.08}",782,"[""9806/Apeks"",""11086/POGGERZ"",""4411/Ninjas in Pyjamas"",""9928/GamerLegion"",""9855/Uruguay"",""9481/x6tence Galaxy"",""9428/Flygplan"",""9382/Equals"",""7124/passions"",""8997/PAPERPLANES"",""7169/fnatic Academy"",""6418/KoN Sweden"",""6978/Singularity"",""8531/gucciTiger"",""8421/cykapower"",""4929/Refuse"",""7901/Klappskaft"",""7822/GUCCIBANAN"",""7780/BANANFLAX"",""12543/BLEED"",""4991/fnatic"",""12878/BC.Game""]",0,3,0,8,1,0,0,N/A
nukkye,13679,Žygimantas Chmieliauskas,Lithuania,27,1.12,1.08,1340,601,15697,11365,10025,1.13,39.2,78.3,1.01,"{""2017"":1.11,""2018"":1.09,""2019"":1.08,""2020"":1.07}",246,"[""10488/Secret"",""5310/HellRaisers"",""9722/NoChance"",""9211/LeftOut"",""7701/Imperial"",""8543/MANS NOT HOT"",""4929/Refuse"",""7062/Kalashnikov 47"",""7566/Playing Ducks"",""6113/exceL"",""13090/Volt"",""13269/Pajuris""]",0,1,1,5,0,0,0,N/A
jchancE,13689,Caleb Davis,United States,28,1.07,1.02,38,377,9194,6669,6631,1.01,39.6,78,0.97,"{""2017"":1.12,""2018"":1.07,""2019"":1.02,""2020"":0.99,""2022"":1.02,""2023"":0.9,""2024"":1.01}",114,"[""11660/Take Flyte"",""13112/Bad News Capybaras""]",0,0,0,0,0,0,0,N/A
Hiki,13692,Dylan O'Kane,United States,24,1.01,N/A,-179,109,2831,1895,2074,0.91,42.4,74.2,N/A,"{""2017"":0.89,""2018"":0.94,""2019"":1.07,""2020"":1.01,""2021"":0.82}",33,"[""5454/SKDC"",""6792/Prospects"",""8832/x1 Mob"",""8613/HWML"",""7105/Blight"",""9335/Clout Chasers"",""9087/Geostorm"",""9001/Quickhands"",""8781/2K"",""6356/h00liGaNz"",""7782/Cucumber Water""]",0,0,0,0,0,0,0,N/A
Franke19,13693,Tao Deng,China,29,1.06,N/A,93,170,4384,3165,3072,1.03,50.2,76.3,N/A,"{""2017"":1.02,""2018"":1.07,""2019"":1.05,""2020"":0.81,""2021"":1.02}",54,"[""11081/TCG"",""10648/Wubbalubbadubdub"",""7606/ViCi"",""9618/Thirteen"",""4865/New4"",""7932/T.O.T"",""7611/VG.Renascence"",""7372/ZDM""]",0,0,0,0,0,0,0,N/A
birdfromsky,13718,Thomas Due-Frederiksen,Denmark,31,0.98,0.86,-3474,1218,32689,19216,22690,0.85,41.7,71.7,0.95,"{""2017"":0.68,""2018"":0.97,""2019"":0.83,""2020"":0.86,""2021"":0.88,""2022"":0.88,""2023"":0.83,""2024"":0.81}",380,"[""12399/QM"",""12259/ex-Copenhagen Flames"",""12303/friforsatan"",""7461/Copenhagen Flames"",""11786/123mix"",""11419/ECSTATIC"",""8963/Lyngby Vikings"",""9621/AaB"",""8703/Serenic"",""7751/BBSP"",""11309/00NATION"",""13001/Mission Possible"",""13184/WildLotus""]",0,0,0,0,0,0,0,N/A
Zatty,13731,Yahya Chahin,Denmark,N/A,0.84,N/A,-51,16,419,245,296,0.83,37.1,63.1,N/A,"{""2017"":1.15,""2018"":0.82,""2019"":0.66,""2020"":0.83}",3,"[""10724/Aalborg Rebels"",""7551/Tricked Academy"",""6417/KoN Denmark"",""4602/Tricked"",""8427/Vulture"",""7754/DSRack Academy""]",0,0,0,0,0,0,0,N/A
Queenix,13749,Jonas Dideriksen,Denmark,25,1.02,0.97,-487,1192,30098,19046,19533,0.98,56.9,70.5,0.9,"{""2017"":1.08,""2018"":0.97,""2019"":0.78,""2020"":0.93,""2021"":1.02,""2022"":0.97,""2023"":0.98,""2024"":0.94}",463,"[""11419/ECSTATIC"",""10867/MASONIC"",""4468/x6tence"",""7461/Copenhagen Flames"",""6978/Singularity"",""10576/water gamers"",""9728/maquinas"",""10502/kinetic"",""8711/Spirifex"",""7776/ZetMac"",""8006/GamerZ"",""7930/GAMERZ BLUE"",""7775/VHQ&T"",""11571/Gaimin Gladiators"",""4602/Tricked""]",0,1,0,0,0,0,0,N/A
Jame,13776,Dzhami Ali,Russia,26,1.17,1.13,7399,1731,44024,31227,23828,1.31,26.3,71.9,1.11,"{""2017"":1.06,""2018"":1.11,""2019"":1.21,""2020"":1.12,""2021"":1.14,""2022"":1.09,""2023"":1.14,""2024"":1.05}",810,"[""5378/Virtus.pro"",""11595/Outsiders"",""8120/AVANGAR"",""10483/Team World"",""7101/Comanche"",""7905/Hala Ares"",""7787/NOVA"",""12467/PARIVISION""]",1,8,3,41,3,2,1,10
tr3vl,13778,Ilya Globa,Russia,25,1,N/A,-267,217,5571,3745,4012,0.93,51.4,75.3,0.88,"{""2017"":0.98,""2018"":0.91}",43,"[""8847/HOLLYWOOD"",""9518/Vyalie Pitoni"",""7489/EPG"",""9193/PLINK"",""8120/AVANGAR"",""8669/Espada"",""7523/1337"",""7900/Spirit Academy"",""7101/Comanche"",""7905/Hala Ares"",""7787/NOVA""]",0,0,0,0,0,0,0,N/A
PASHANOJ,13779,Pavel Legostaev,Russia,29,0.9,0.83,-2376,621,16250,9445,11821,0.8,53.4,68,0.74,"{""2017"":0.87,""2018"":0.92,""2019"":0.81,""2020"":0.81,""2021"":0.77,""2022"":0.74}",128,"[""7244/K23"",""11371/xDDDD"",""11382/DNG"",""11025/CrowCrowd"",""10929/ex-ETHEREAL"",""10673/ETHEREAL"",""9287/Unique"",""7017/Space Jam"",""8669/Espada"",""7523/1337"",""7900/Spirit Academy"",""7101/Comanche"",""7905/Hala Ares"",""7787/NOVA"",""12537/Team neaLaN""]",0,0,0,0,0,0,0,N/A
dimasick,13780,Dmitry Matvienko,Kazakhstan,27,1.06,1.02,447,585,15322,10747,10300,1.04,49.1,75.9,0.96,"{""2017"":1.08,""2018"":1.02,""2019"":0.96,""2020"":0.95}",151,"[""7898/pro100"",""10189/Moscow CreepZ"",""7427/eL'quvet"",""10262/paryvodnikov"",""9182/Monolith"",""6651/Gambit"",""8120/AVANGAR"",""6215/LOG"",""7787/NOVA""]",0,1,0,0,0,0,0,N/A
Lucky,13843,Philip Ewald,Denmark,22,1.11,1.05,3292,1447,35560,25067,21775,1.15,42.5,72.7,0.96,"{""2017"":0.67,""2018"":1.02,""2019"":1.07,""2020"":1.06,""2021"":1.05,""2022"":1.05,""2023"":1.07,""2024"":1.09}",674,"[""12289/Espionage"",""4602/Tricked"",""6665/Astralis"",""10636/fakemaquinas"",""9728/maquinas"",""9981/STEP"",""4485/ImmuNe "",""9952/egern"",""6417/KoN Denmark"",""8706/Ignite"",""7415/Sørby"",""7749/Sørby Academy"",""11712/Sashi""]",0,1,0,8,0,0,0,N/A
vester,13846,Mads Vestergaard,Denmark,22,0.92,N/A,-517,159,4081,2479,2996,0.83,57.8,69.9,N/A,"{""2017"":0.58,""2018"":0.7,""2019"":0.93,""2020"":1.07,""2021"":0.83,""2022"":0.95,""2023"":0.84}",41,"[""8947/XI"",""10867/MASONIC"",""11134/CEPTER"",""11712/Sashi"",""10954/Astralis Talent"",""10840/ESIMED"",""8974/Vantage"",""6417/KoN Denmark"",""7749/Sørby Academy"",""7415/Sørby""]",0,0,0,0,0,0,0,N/A
la3euka,13899,Vladimir Shurygin,Russia,23,0.99,N/A,-261,229,5992,3956,4217,0.94,53.8,72.8,0.79,"{""2017"":0.96,""2018"":0.92,""2019"":0.97,""2020"":0.93,""2021"":0.9,""2022"":0.94,""2023"":1.14,""2024"":0.83}",81,"[""12124/Insilio"",""12158/Vladivostok"",""11312/QUAZAR"",""11351/AnimeSubmarine"",""10931/IN.GAME"",""10911/ex-Mustang Crew"",""10693/Mustang Crew"",""9120/Atlants"",""8589/5balls"",""10138/pullerZ"",""9357/Underdogs"",""7427/eL'quvet"",""9029/Burning Blades"",""5338/TEAMSWAGYOLO"",""7900/Spirit Academy"",""8380/forZe.FY"",""8135/FORZE"",""7489/EPG"",""7264/spray'n'pray"",""12613/PrizyvaNet"",""12157/ILIN"",""12877/PeeP""]",0,0,0,0,0,0,0,N/A
YEKINDAR,13915,Mareks Gaļinskis,Latvia,25,1.12,1.07,1365,1511,39185,28562,27197,1.05,59.1,81.3,1.06,"{""2017"":1.08,""2018"":1.1,""2019"":1.05,""2020"":1.07,""2021"":1.05,""2022"":1.06,""2023"":0.99,""2024"":0.94}",378,"[""5973/Liquid"",""12080/Go Kill"",""11707/Team Flash"",""11595/Outsiders"",""5378/Virtus.pro"",""11407/Team GeT_RiGhT"",""7898/pro100"",""7340/Wolsung"",""9704/All Star A"",""9546/omae wa mou shindeiru"",""7511/Skinlordz"",""8135/FORZE"",""9182/Monolith"",""7489/EPG"",""8509/EPG Academy"",""6448/Revival"",""13192/Roler Coaster"",""8297/FURIA""]",0,5,0,27,8,2,1,8
XenonQ,13918,Mateusz Bosak,Poland,27,1,N/A,-10,20,519,361,371,0.97,35.2,74.9,N/A,"{""2017"":1.03,""2018"":0.72}",5,"[""8788/Pompa Academy"",""8100/Off-Mode Gray"",""6675/PixelFire""]",0,0,0,0,0,0,0,N/A
souL,13919,Marek Kucharski,Poland,N/A,1.03,N/A,-1,4,102,73,74,0.99,27.4,74.9,N/A,"{""2017"":0.98}",1,"[""6675/PixelFire""]",0,0,0,0,0,0,0,N/A
dsay,13920,Damian Juszczynka,Poland,26,0.98,N/A,-45,19,490,333,378,0.88,55.6,76.3,N/A,"{""2017"":0.96,""2018"":0.54}",5,"[""8788/Pompa Academy"",""8100/Off-Mode Gray"",""6675/PixelFire""]",0,0,0,0,0,0,0,N/A
wengli,13921,Patryk Węglewski,Poland,25,0.89,N/A,-71,20,519,329,400,0.82,47.1,68.6,N/A,"{""2017"":0.88,""2018"":0.82}",10,"[""8788/Pompa Academy"",""8100/Off-Mode Gray"",""6675/PixelFire""]",0,0,0,0,0,0,0,N/A
Jorok,13939,Gundalai Munkhtemuulen,Mongolia,30,0.82,N/A,-26,5,107,58,84,0.69,37.9,65.1,N/A,"{""2017"":0.75}",2,"[""8551/MoGuL"",""6248/TheMongolz"",""7808/DANK""]",0,0,0,0,0,0,0,N/A
boX,13976,Anton Burko,Belarus,29,1.04,0.94,-1650,1473,39456,25352,27002,0.94,43.6,75,0.87,"{""2017"":0.96,""2018"":0.96,""2019"":0.94,""2020"":0.94,""2021"":0.93,""2022"":0.95,""2023"":0.9,""2024"":0.82}",364,"[""11331/Websterz"",""7820/GoodJob"",""11787/P2N"",""7969/Nemiga"",""10263/BestClub"",""9490/FCDB""]",0,0,0,0,0,0,0,N/A
fnyekes,13977,Vadzim Zhuraulenka,Belarus,25,1.03,0.99,-78,315,8217,5671,5749,0.99,47.5,75.3,1.09,"{""2017"":0.98,""2018"":1,""2019"":0.93}",92,"[""10265/PlotniuVodniu"",""7820/GoodJob"",""9490/FCDB""]",0,0,0,0,0,0,0,N/A
Coffee,13978,Nikita Antsypirovich,Belarus,23,1.04,N/A,-291,355,9234,6172,6463,0.95,48.5,78.5,1.04,"{""2017"":1,""2018"":0.95,""2019"":0.87,""2020"":0.86}",126,"[""10105/SG.pro"",""10129/OneWay"",""7969/Nemiga"",""10265/PlotniuVodniu"",""8589/5balls"",""7820/GoodJob"",""9490/FCDB"",""9524/4ucToHano6egky""]",0,0,0,0,0,0,0,N/A
lollipop21k,13980,Igor Solodkov,Belarus,28,1.13,1.09,2754,1463,38891,28995,26241,1.1,48.7,81.5,1,"{""2017"":1.09,""2018"":1.08,""2019"":1.09,""2020"":1.11,""2021"":1.1,""2022"":0.98,""2023"":1.09,""2024"":0.94}",460,"[""12333/Question Mark"",""11716/Iron Branch"",""11331/Websterz"",""10621/1WIN"",""11219/INDE IRAE"",""10276/Finest"",""7969/Nemiga"",""8135/FORZE"",""10263/BestClub"",""5988/FlipSid3"",""7820/GoodJob"",""12431/Betera"",""11164/Into the Breach"",""5107/Belarus"",""13046/CS2News"",""13185/Minsk House""]",0,0,0,0,0,0,0,N/A
Forester,13982,Igor Bezotecheskiy,Russia,25,1.08,1.02,1275,1638,42985,29715,28440,1.04,53.9,76.5,1.02,"{""2017"":0.99,""2018"":0.97,""2019"":1,""2020"":1.03,""2021"":1.05,""2022"":1.04,""2023"":1.02,""2024"":0.96}",515,"[""10621/1WIN"",""8135/FORZE"",""11119/EPG Family"",""10831/Entropiq"",""11085/ex-Winstrike"",""9183/Winstrike"",""7969/Nemiga"",""10421/Hard Legion"",""8305/DreamEaters"",""9119/ch114u"",""8838/a114u"",""8794/abv"",""7819/teamasd"",""8043/Sherifi"",""8009/1bullet"",""12586/AMKAL""]",0,3,0,4,1,0,0,N/A
JXS,13985,Xian Jin,China,N/A,0.88,N/A,-91,27,664,415,506,0.82,47.5,68.2,N/A,"{""2017"":0.89,""2018"":0.8,""2019"":0.91}",13,"[""8840/Lynn Vision"",""8470/Eclipse.ZB\t"",""7821/Douyu""]",0,0,0,0,0,0,0,N/A
rafa,13986,Rafael Heeman,Brazil,29,0.98,N/A,-213,108,2729,1749,1962,0.89,48.1,73,N/A,"{""2017"":0.98,""2018"":0.91,""2019"":0.84,""2020"":0.82}",33,"[""10757/Ultimate"",""9684/INTZ.Academy"",""8728/Yeah"",""9530/INTZ.Home"",""6619/INTZ"",""8735/2anosOLD"",""7852/EN9MY"",""6798/2KILL"",""7831/hookahlike""]",0,0,0,0,0,0,0,N/A
ryotzz,13989,Leon Felipe,Brazil,29,1.08,0.99,-154,447,11613,7922,8076,0.98,37.2,80.4,0.78,"{""2017"":0.96,""2018"":1.01,""2019"":0.99,""2020"":0.83}",85,"[""10735/Prodigy"",""10637/ex-skullz"",""8574/W7M"",""8382/BootKamp"",""7081/Black Dragons"",""7830/Virtue""]",0,0,0,0,0,0,0,N/A
