Aug 14 2023,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
ScrunK,8212,Robin Röpke,Germany,28,N/A,0.87,-3360,1163,31060,18693,22053,0.85,46.3,70.5,0.84,"{""2014"":0.91,""2015"":0.94,""2016"":1.02,""2017"":1.05,""2018"":0.91,""2019"":0.86,""2020"":0.84,""2021"":0.82,""2022"":0.83}",278,"[""10333/Sangal"",""10968/cowana"",""4501/ALTERNATE aTTaX"",""9393/expert"",""9062/FriendlyFire"",""7425/DIVIZON"",""6343/EURONICS"",""7850/eudededede"",""6570/DEEZ NUTS"",""6859/FAB"",""6301/Splyce"",""6434/Coastless"",""5953/Seelachs"",""6321/Coast"",""6288/BTY"",""4468/x6tence"",""5355/myKPV""]",0,0,0,0,0,0,0,N/A
matty,8231,Mateusz Kołodziejczyk,Poland,27,N/A,0.93,-836,617,16381,10526,11362,0.93,40.6,75.6,0.89,"{""2014"":1,""2015"":0.88,""2016"":0.95,""2017"":0.99,""2018"":1.02,""2019"":0.83,""2020"":0.89,""2021"":0.92}",172,"[""10999/EC Brugge"",""7848/MAESTRO"",""10289/Capri Sun"",""10207/Partyzanci"",""7681/Izako Boars"",""7339/KPI"",""6896/PRIDE"",""8067/GRUBASy"",""7833/ZWIERZETA"",""6221/ATB"",""7142/HOMELESS"",""6570/DEEZ NUTS"",""6574/ex-USSR"",""4532/ESC"",""4534/ALSEN"",""5363/haxiere""]",0,0,0,0,0,0,0,N/A
reatz,8242,Paweł Jańczak,Poland,28,N/A,1,659,1579,42452,29166,28507,1.02,51.6,73.9,0.97,"{""2014"":1.33,""2015"":1,""2016"":1.02,""2017"":1.04,""2018"":1.04,""2019"":1.01,""2020"":0.98,""2021"":0.94}",543,"[""8813/Illuminar"",""11847/INDUSTRY"",""8248/PACT"",""8068/AGO"",""8846/x-kom"",""9966/Team hazed"",""9698/2019"",""6134/Kinguin"",""6896/PRIDE"",""5137/Poland"",""6686/AGG"",""4781/Refuse"",""6574/ex-USSR"",""5004/USSR"",""6328/Distinct5"",""5360/HyperShots""]",0,0,0,3,0,0,0,N/A
jkaem,8248,Joakim Myrbostad,Norway,29,N/A,1.04,1401,1581,42029,30752,29351,1.05,51.4,80.5,1.04,"{""2014"":1.02,""2015"":1.07,""2016"":0.98,""2017"":1.06,""2018"":1.04,""2019"":1.02,""2020"":1.03,""2021"":1.06,""2022"":1.08}",400,"[""9806/Apeks"",""11243/Apeks Rebels"",""10096/EXTREMUM"",""8474/100 Thieves"",""6211/Renegades"",""8473/NOREG"",""5422/Dignitas"",""6667/FaZe"",""7243/.Norway"",""5108/Norway"",""5995/G2"",""4548/CPH Wolves"",""5962/LGB"",""5926/Clutchit.org"",""4732/partyastronauts""]",0,8,0,44,0,0,0,N/A
CyberFocus,8255,Roman Dergach,Belarus,28,N/A,1.02,320,491,12779,9080,8760,1.04,29.7,74.2,0.93,"{""2014"":0.89,""2015"":1.05,""2016"":1.05,""2017"":1.02,""2018"":0.97,""2019"":0.88}",180,"[""10626/EveryBodyDance"",""5342/97club"",""10380/Broshenki"",""5946/Evolution"",""7969/Nemiga"",""4908/K29"",""6923/ANOX"",""5107/Belarus"",""6724/Preparation"",""6302/Worst Players"",""6684/Empire"",""6472/Rebels"",""6408/Arcade"",""5445/LAN DODGERS"",""6249/Evolution"",""5988/FlipSid3"",""6014/New Era"",""5577/A-Gaming"",""5218/ACES""]",0,0,0,0,0,0,0,N/A
balblna,8294,Gregory Oleinick,Russia,27,N/A,0.9,-1251,614,16094,9824,11075,0.89,49.9,70.3,0.85,"{""2014"":0.48,""2015"":0.89,""2016"":0.94,""2017"":0.9,""2018"":0.91,""2019"":0.82,""2020"":0.78,""2022"":0.78}",179,"[""11331/Websterz"",""8211/NASR"",""10096/EXTREMUM"",""10094/Dracarys"",""9183/Winstrike"",""7367/Quantum Bellator Fire"",""7193/Shadows"",""7017/Space Jam"",""6921/Vesuvius"",""6669/Binary Dragons"",""6448/Revival"",""6014/New Era"",""5541/tmUragan""]",0,2,0,0,0,0,0,N/A
repo,8320,Karol Cybulski,Poland,26,N/A,0.94,-657,505,13254,8647,9304,0.93,46.6,69.4,0.92,"{""2014"":0.91,""2015"":1.01,""2016"":0.94,""2017"":0.83,""2018"":0.81,""2021"":0.66}",127,"[""10905/PGE Turow"",""6570/DEEZ NUTS"",""9194/UMULUNGI"",""8209/Pompa"",""6896/PRIDE"",""8645/KOPUNIO"",""7681/Izako Boars"",""8067/GRUBASy"",""6686/AGG"",""6763/noKappa"",""6375/Vexed"",""6614/ezkatka"",""4532/ESC"",""6384/MaxAndRelax"",""5137/Poland"",""5306/noMERCY""]",0,0,0,0,0,0,0,N/A
oskarish,8321,Oskar Stenborowski,Poland,26,N/A,0.97,-449,1141,30578,19957,20406,0.98,50.3,70.9,0.9,"{""2014"":1.13,""2015"":1.02,""2016"":0.91,""2017"":0.95,""2018"":1.05,""2019"":0.96,""2020"":0.88,""2021"":0.98,""2022"":0.96}",417,"[""10973/Anonymo"",""11887/LODIS"",""12117/Let us cook"",""12201/Gentlefolk"",""12128/zu krass"",""8813/Illuminar"",""7234/Endpoint"",""10965/MNA"",""10939/Valhalla"",""10910/Farming Simulator"",""8068/AGO"",""8846/x-kom"",""6724/Preparation"",""4688/Epsilon"",""8209/Pompa"",""6298/fish123"",""9075/Weirdos"",""7946/attackiereN"",""6343/EURONICS"",""8869/ex-SEAL"",""8361/SEAL"",""6134/Kinguin"",""8036/C'EST LA VIE"",""7920/OmFmike"",""4501/ALTERNATE aTTaX"",""5395/PENTA"",""7409/Sharksys"",""6686/AGG"",""6375/Vexed"",""6735/Cl4nless"",""6372/CSGL"",""5599/Dobry&Gaming"",""5595/nerdRage"",""5093/KILLERFISH"",""5802/ePlay"",""5615/myRevenge""]",0,0,0,0,0,0,0,N/A
mouz,8323,Mikołaj Karolewski,Poland,27,N/A,1.02,1738,1722,45760,31441,29703,1.06,50.2,74.1,0.98,"{""2014"":0.98,""2015"":1.01,""2016"":1.07,""2017"":1.03,""2018"":1.05,""2019"":1.02,""2020"":0.96,""2021"":1.02}",612,"[""8248/PACT"",""11627/Forsaken"",""11563/Strive in chaos"",""11936/Maikelele's Team"",""11888/Pusheens"",""10737/HONORIS"",""10426/Wisla Krakow"",""8813/Illuminar"",""8209/Pompa"",""10973/Anonymo"",""10494/ARCY"",""10020/Aristocracy"",""9862/devils.one"",""6134/Kinguin"",""5137/Poland"",""5599/Dobry&Gaming"",""6372/CSGL"",""5995/G2"",""4532/ESC""]",0,1,0,12,0,0,0,N/A
morelz,8324,Piotr Taterka,Poland,29,N/A,0.99,-202,1389,37182,25840,26042,0.99,46.4,77.3,0.93,"{""2014"":1.12,""2015"":0.94,""2016"":0.96,""2017"":1.03,""2018"":0.95,""2019"":0.98,""2020"":0.95,""2021"":1,""2022"":1.03}",404,"[""12117/Let us cook"",""8813/Illuminar"",""11064/ESCA"",""10276/Finest"",""10992/TPT"",""10910/Farming Simulator"",""4591/Wizards"",""10739/mens"",""10593/Demolition Crew"",""10426/Wisla Krakow"",""8911/adwokacik"",""10044/Youngsters"",""9797/AVEZ"",""8248/PACT"",""9698/2019"",""5378/Virtus.pro"",""6118/Tempo Storm"",""6570/DEEZ NUTS"",""7681/Izako Boars"",""7000/tomorrow"",""6896/PRIDE"",""4781/Refuse"",""6574/ex-USSR"",""6372/CSGL"",""4532/ESC"",""6221/ATB"",""5599/Dobry&Gaming"",""5801/31337"",""5616/KNR""]",0,0,0,5,0,0,0,N/A
