Aug 01 2023,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
nak,169,Renato Nakano,Brazil,36,N/A,0.92,-700,519,13439,8234,8934,0.92,44.6,70.8,0.81,"{""2015"":0.87,""2016"":0.97,""2017"":0.97,""2018"":0.95,""2019"":0.84,""2020"":0.9,""2021"":0.61}",140,"[""8902/DETONA"",""7176/RED Canids"",""8113/Sharks"",""7613/Red Reserve"",""6033/Keyd""]",0,0,0,0,0,0,0,N/A
Savage,180,Bin Liu,China,34,N/A,1.08,1926,836,21434,15647,13721,1.14,37,78.2,0.96,"{""2015"":1.21,""2016"":1.15,""2017"":1.11,""2018"":1.01,""2019"":1,""2020"":0.89}",332,"[""11081/TCG"",""10648/Wubbalubbadubdub"",""7092/5POWER"",""9872/Panda"",""6503/CyberZen"",""9030/Fierce Tiger"",""7606/ViCi"",""6773/VG.CyberZen""]",0,0,0,0,0,0,0,N/A
n0thing,203,Jordan Gilbert,United States,32,N/A,1.02,484,813,21021,14720,14236,1.03,52.6,74.9,0.99,"{""2013"":1.09,""2014"":1.1,""2015"":1.05,""2016"":1.03,""2017"":0.95,""2018"":0.91}",232,"[""5005/Complexity"",""5752/Cloud9""]",0,10,1,52,0,0,0,N/A
JACKZ,284,Audric Jug,France,31,N/A,0.98,-297,1180,31446,20878,21175,0.99,58.1,73.2,0.96,"{""2015"":0.65,""2016"":1.07,""2017"":1.04,""2018"":1.09,""2019"":1,""2020"":0.92,""2021"":0.87}",293,"[""11501/HEET"",""5995/G2"",""4914/3DMAX"",""7856/EnVyUs Academy"",""6131/beGenius""]",0,4,0,25,0,0,0,N/A
kUcheR,302,Emil Akhundov,Russia,34,N/A,0.97,-145,852,22314,14944,15089,0.99,44,74.2,0.93,"{""2012"":0.89,""2013"":1,""2014"":0.99,""2015"":0.95,""2016"":0.96,""2017"":1.05}",234,"[""8135/FORZE"",""7060/NokSuKao"",""5310/HellRaisers"",""4984/Astana Dragons"",""4555/Virtus.pro""]",0,5,3,23,0,0,0,N/A
starix,303,Sergey Ischuk,Ukraine,35,N/A,0.96,-311,640,16850,10985,11296,0.97,47.7,72.9,0.83,"{""2012"":1.13,""2013"":1,""2014"":0.96,""2015"":0.82,""2016"":0.89,""2017"":0.93,""2018"":1.03,""2019"":0.91,""2020"":0.89}",191,"[""10621/1WIN"",""4469/k1ck"",""7020/Spirit"",""4608/Natus Vincere""]",0,5,2,23,0,0,0,N/A
pashaBiceps,317,Jarosław Jarząbkowski,Poland,35,N/A,1.02,989,1597,41346,29557,28568,1.03,37.3,72.4,0.99,"{""2012"":1.15,""2013"":1.11,""2014"":1.13,""2015"":1.01,""2016"":0.94,""2017"":1.02,""2018"":0.95,""2019"":0.91}",437,"[""10044/Youngsters"",""5378/Virtus.pro"",""4533/UniversalSoldiers"",""4532/ESC""]",1,13,12,88,3,2,1,3
AdreN,334,Dauren Kystaubayev,Kazakhstan,33,N/A,0.98,-231,1767,46487,31371,31602,0.99,48.9,75.9,0.97,"{""2012"":0.85,""2013"":1.03,""2014"":0.96,""2015"":1.02,""2016"":1.13,""2017"":1.06,""2018"":0.95,""2019"":0.88,""2020"":0.84,""2021"":0.9}",473,"[""7244/K23"",""5378/Virtus.pro"",""8120/AVANGAR"",""6667/FaZe"",""6651/Gambit"",""5310/HellRaisers"",""5593/dAT"",""4984/Astana Dragons"",""4555/Virtus.pro""]",1,12,9,64,1,1,0,17
markeloff,338,Yegor Markelov,Ukraine,35,N/A,0.99,485,1146,29704,19839,19354,1.03,41.6,74.4,0.98,"{""2012"":1.08,""2013"":1.08,""2014"":1,""2015"":0.94,""2016"":0.99,""2017"":0.99,""2018"":0.93}",414,"[""5988/FlipSid3"",""5310/HellRaisers"",""4984/Astana Dragons"",""4608/Natus Vincere""]",0,12,1,38,1,1,0,15
ANGE1,339,Kirill Karasiow,Ukraine,33,N/A,0.99,-685,1728,45027,31392,32077,0.98,51.3,80.1,0.98,"{""2012"":1.16,""2013"":1.02,""2014"":1.02,""2015"":1,""2016"":1.03,""2017"":1.06,""2018"":0.92,""2019"":0.84}",381,"[""5310/HellRaisers"",""4984/Astana Dragons"",""4555/Virtus.pro""]",0,9,3,51,0,0,0,N/A
