Aug 01 2023,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
STYKO,6904,Martin Styk,Slovakia,27,N/A,0.99,246,1822,48369,31974,31728,1.01,57.6,73.7,0.99,"{""2013"":1.13,""2014"":1.29,""2015"":0.98,""2016"":1.02,""2017"":0.97,""2018"":0.91,""2019"":1.05,""2020"":1.02,""2021"":1.03,""2022"":0.99}",647,"[""9806/Apeks"",""10671/FunPlus Phoenix"",""6902/GODSENT"",""10315/SMASH"",""9722/NoChance"",""4494/MOUZ"",""5752/Cloud9"",""5310/HellRaisers"",""4573/Fraternitas""]",0,4,3,32,0,0,0,N/A
HZ,7016,Zhen Huang,China,33,N/A,1.05,691,500,12856,9305,8614,1.08,49.4,81.7,0.93,"{""2013"":0.78,""2016"":1.14,""2017"":1.03,""2018"":1.1,""2019"":0.95}",133,"[""10860/TSG"",""10472/R-Stars"",""10022/OneThree"",""9872/Panda"",""6503/CyberZen"",""9030/Fierce Tiger"",""7606/ViCi"",""4863/TYLOO"",""6504/AllGamers""]",0,0,0,0,0,0,0,N/A
DD,7026,Hui Wu,China,28,N/A,1.06,1523,917,23728,17450,15927,1.1,41.9,81.5,0.97,"{""2013"":1.04,""2014"":1.03,""2015"":1.26,""2016"":1.12,""2017"":1.06,""2018"":0.99,""2019"":1.12,""2020"":1,""2021"":0.91}",351,"[""10851/Wings Up"",""10022/OneThree"",""4863/TYLOO""]",0,1,0,21,0,0,0,N/A
Summer,7028,YuLun Cai,China,26,N/A,1.07,2797,1334,34406,24944,22147,1.13,49.1,79.5,0.94,"{""2013"":0.65,""2014"":1.17,""2015"":1.23,""2016"":1.15,""2017"":1.13,""2018"":1.03,""2019"":1.06,""2020"":1.03,""2021"":1.01}",503,"[""4863/TYLOO"",""7660/Flash"",""9037/VG.Flash""]",0,4,0,16,0,0,0,N/A
BnTeT,7131,Hansel Ferdinand,Indonesia,27,N/A,1.14,3823,1105,28751,21842,18019,1.21,39.8,82.5,1.03,"{""2013"":0.51,""2015"":1.36,""2016"":1.41,""2017"":1.28,""2018"":1.11,""2019"":1.13,""2020"":1.06,""2021"":1.07,""2022"":0.99}",503,"[""11135/NKT"",""4863/TYLOO"",""10096/EXTREMUM"",""10514/Gen.G"",""7344/Recca"",""5258/nxl""]",0,3,0,21,0,0,0,N/A
Fifflaren,7147,Robin Johansson,Sweden,35,N/A,0.94,-40,538,13220,7894,7934,0.99,37.5,91.7,1.24,"{""2012"":1.09,""2013"":0.99,""2014"":0.85}",137,"[""4411/Ninjas in Pyjamas""]",1,3,18,31,0,0,0,N/A
friberg,7148,Adam Friberg,Sweden,31,N/A,0.95,-1734,1966,51219,33244,34978,0.95,47.3,70.4,0.94,"{""2012"":1.17,""2013"":1.13,""2014"":1.01,""2015"":0.96,""2016"":0.95,""2017"":0.89,""2018"":0.93,""2019"":0.98,""2020"":0.85,""2021"":0.8}",519,"[""5422/Dignitas"",""7175/Heroic"",""6615/OpTic"",""4411/Ninjas in Pyjamas""]",1,9,22,81,1,2,0,11
Pimp,7154,Jacob Winneche,Denmark,28,N/A,1.07,2054,983,25223,18246,16192,1.13,46.4,78.3,0.97,"{""2012"":1.16,""2013"":1.09,""2014"":1.09,""2015"":1.05,""2016"":1.06,""2017"":1,""2018"":1.36,""2019"":1.34}",312,"[""5973/Liquid"",""6137/SK"",""5422/Dignitas"",""4548/CPH Wolves"",""4448/3DMAX"",""4775/Western Wolves"",""4547/Anexis""]",0,6,0,35,0,0,0,N/A
MSL,7156,Mathias Lauridsen,Denmark,28,N/A,0.92,-3455,1777,46431,29867,33322,0.9,39.8,70.5,0.94,"{""2012"":1.09,""2013"":0.98,""2014"":0.98,""2015"":0.89,""2016"":0.87,""2017"":0.89,""2018"":0.91,""2019"":0.94,""2020"":0.97,""2021"":0.87,""2022"":0.77}",373,"[""11712/Sashi"",""12119/NtK"",""11825/TITANS"",""11562/Tokyo Revengers"",""11281/South"",""7533/North"",""6615/OpTic"",""7157/Rogue"",""5422/Dignitas"",""5758/myXMG"",""5208/Reason"",""4448/3DMAX"",""4775/Western Wolves"",""4547/Anexis""]",0,9,5,64,1,0,0,N/A
Ex6TenZ,7166,Kévin Droolans,Belgium,33,N/A,0.94,-1064,1393,36352,22665,23729,0.96,41.5,74.8,0.93,"{""2012"":0.93,""2013"":0.97,""2014"":0.89,""2015"":0.91,""2016"":1.02,""2017"":0.97,""2018"":0.91}",413,"[""9928/GamerLegion"",""9855/Uruguay"",""5995/G2"",""4674/LDLC"",""5284/Titan"",""4467/VeryGames""]",0,8,6,55,0,0,0,N/A
kennyS,7167,Kenny Schrub,France,28,N/A,1.12,6478,1978,52391,39361,32883,1.2,31.2,74,1.09,"{""2012"":1.25,""2013"":1.17,""2014"":1.25,""2015"":1.12,""2016"":1.13,""2017"":1.14,""2018"":1.08,""2019"":1.1,""2020"":1.04,""2021"":0.92,""2022"":0.95}",667,"[""11283/Falcons"",""5995/G2"",""5991/Envy"",""5284/Titan"",""4948/Clan-Mystik"",""4674/LDLC"",""4467/VeryGames""]",1,14,11,94,10,5,3,6
NBK-,7168,Nathan Schmitt,France,29,N/A,1.01,988,2223,58386,40222,39234,1.03,54,76.8,1.01,"{""2012"":1.12,""2013"":1.12,""2014"":1.09,""2015"":1.06,""2016"":0.98,""2017"":1.02,""2018"":0.99,""2019"":0.99,""2020"":0.95,""2021"":0.98,""2022"":0.92}",566,"[""11283/Falcons"",""4494/MOUZ"",""11003/DBL PONEY"",""10503/OG"",""9565/Vitality"",""5995/G2"",""5991/Envy"",""4674/LDLC"",""5284/Titan"",""4467/VeryGames""]",2,14,22,94,4,3,2,5
RpK,7169,Cédric Guipouy,France,33,N/A,0.97,-621,1497,39079,26039,26660,0.98,50.7,72,0.98,"{""2012"":1.1,""2015"":0.97,""2016"":0.99,""2017"":1.01,""2018"":0.93,""2019"":0.97,""2020"":0.97}",373,"[""9565/Vitality"",""5991/Envy"",""5995/G2"",""5284/Titan"",""4467/VeryGames""]",0,9,4,59,0,0,0,N/A
SmithZz,7170,Edouard Dubourdeaux,France,34,N/A,0.96,-563,1168,30301,19827,20390,0.97,41.4,66,0.9,"{""2012"":1.08,""2013"":1.07,""2014"":0.99,""2015"":0.95,""2016"":0.93,""2017"":0.85,""2018"":0.78}",298,"[""12093/Nakama"",""5995/G2"",""5284/Titan"",""5991/Envy"",""4674/LDLC"",""4467/VeryGames""]",1,11,12,68,0,1,0,17
kRYSTAL,7218,Kevin Amend,Germany,30,N/A,0.9,-3495,1888,49380,29866,33361,0.9,36.7,67.3,0.86,"{""2012"":1.01,""2013"":1.06,""2014"":1.02,""2015"":0.94,""2016"":0.96,""2017"":0.94,""2018"":0.84,""2019"":0.84,""2020"":0.75,""2021"":0.83}",516,"[""8064/undefined"",""10968/cowana"",""11196/ex-ALTERNATE aTTaX"",""4501/ALTERNATE aTTaX"",""6902/GODSENT"",""10315/SMASH"",""9722/NoChance"",""7157/Rogue"",""7701/Imperial"",""8637/Sprout"",""8452/Seed"",""5395/PENTA""]",0,4,1,16,0,0,0,N/A
xseveN,7248,Sami Laasanen,Finland,28,N/A,1,439,1514,40330,27225,26786,1.02,47.1,78.2,0.98,"{""2012"":1.02,""2014"":0.73,""2015"":0.98,""2016"":1.04,""2017"":1.03,""2018"":0.98,""2019"":0.92,""2020"":0.92,""2021"":1.03,""2022"":1.05}",473,"[""7865/HAVU"",""4869/ENCE"",""7331/iGame.com"",""7028/LGR"",""4682/RCTIC"",""6220/Epiphany Bolt""]",0,2,2,19,0,0,0,N/A
steel,7253,Joshua Nissan,Canada,33,N/A,1.02,251,619,16360,11541,11290,1.02,45.8,79.9,0.98,"{""2012"":1.25,""2013"":1,""2014"":1,""2015"":1.34,""2017"":1.1,""2018"":1,""2019"":0.97,""2020"":1.01}",197,"[""9085/Chaos"",""7612/Ben's Anime Team"",""7801/Ghost"",""5906/Torqued"",""5231/iBUYPOWER""]",0,1,1,16,0,0,0,N/A
nex,7256,Johannes Maget,Germany,31,N/A,1.09,2435,1074,28389,21063,18628,1.13,51.5,78.8,1.06,"{""2012"":1.07,""2013"":0.89,""2014"":1.12,""2015"":1.13,""2016"":1.06,""2017"":1.09,""2018"":1.08}",305,"[""7532/BIG"",""4494/MOUZ"",""5395/PENTA"",""5195/Planetkey""]",0,10,0,36,0,0,0,N/A
syrsoN,7266,Florian Rische,Germany,27,N/A,1.09,4846,1794,47745,34859,30013,1.16,29.4,74.2,1.09,"{""2012"":1.16,""2013"":0.75,""2014"":0.96,""2015"":0.91,""2016"":0.94,""2017"":1.07,""2018"":1.19,""2019"":1.12,""2020"":1.12,""2021"":1.06}",645,"[""7532/BIG"",""8637/Sprout"",""4501/ALTERNATE aTTaX"",""5195/Planetkey""]",0,3,0,11,2,1,1,10
Puls3,7296,Reece Marrs,United Kingdom,29,N/A,0.99,74,436,11572,7860,7786,1.01,43.3,74.7,0.96,"{""2012"":0.79,""2013"":0.94,""2014"":0.91,""2015"":0.98,""2016"":1.04,""2017"":0.96,""2018"":1.01,""2019"":0.97,""2020"":1.02}",140,"[""11118/Max&amp;BigGarlicDips"",""7234/Endpoint"",""6132/Method"",""4445/FMESPORTS""]",0,0,0,0,0,0,0,N/A
apEX,7322,Dan Madesclaire,France,30,N/A,1,136,2163,56872,39764,39625,1,51.2,77.7,1,"{""2012"":1.18,""2013"":1.12,""2014"":1.1,""2015"":1.04,""2016"":1.01,""2017"":1.01,""2018"":1.09,""2019"":0.98,""2020"":0.92,""2021"":0.94,""2022"":0.87}",432,"[""9565/Vitality"",""5995/G2"",""5991/Envy"",""5284/Titan"",""4674/LDLC"",""4948/Clan-Mystik""]",2,17,19,98,0,2,0,15
MICHU,7356,Michał Müller,Poland,26,N/A,1.07,3117,1799,47375,35204,32087,1.1,50.9,79.9,1.02,"{""2012"":0.99,""2013"":0.9,""2014"":1.09,""2015"":1.09,""2016"":1.1,""2017"":1.15,""2018"":1.01,""2019"":1.05,""2020"":1.05,""2021"":0.99,""2022"":1.06}",532,"[""11982/IKLA"",""9806/Apeks"",""11540/Benched Heroes"",""11665/ex-MAD Lions"",""8362/MAD Lions"",""10399/Evil Geniuses"",""5991/Envy"",""5378/Virtus.pro"",""6134/Kinguin"",""5599/Dobry&amp;Gaming"",""6372/CSGL"",""5995/G2"",""4532/ESC"",""5211/MYM""]",0,2,0,23,0,0,0,N/A
Hyper,7368,Bartosz Wolny,Poland,33,N/A,0.96,-167,646,16949,11144,11311,0.99,41.8,69.9,0.85,"{""2012"":1.04,""2013"":1.05,""2014"":1.02,""2015"":1,""2016"":0.97,""2017"":0.93,""2018"":1.06,""2019"":0.88,""2020"":0.68}",240,"[""8209/Pompa"",""6134/Kinguin"",""6686/AGG"",""6375/Vexed"",""6245/eBettle"",""5211/MYM"",""4535/MaxFloPlay""]",0,2,0,0,0,0,0,N/A
Devilwalk,7378,Jonatan Lundberg,Sweden,32,N/A,0.85,-1153,409,10742,6227,7380,0.84,51.3,68.1,0.86,"{""2012"":1.06,""2013"":0.92,""2014"":0.85,""2015"":0.78,""2016"":0.59,""2017"":0.87,""2018"":0.74,""2019"":0.68}",95,"[""6386/Winterfox"",""5479/Mythic"",""4991/fnatic"",""4688/Epsilon""]",1,2,1,14,0,0,0,N/A
steel,7382,Lucas Lopes,Brazil,29,N/A,0.95,-1152,1549,40521,25945,27097,0.96,41.1,71.3,0.94,"{""2012"":1.14,""2014"":0.77,""2015"":0.93,""2016"":1.11,""2017"":0.99,""2018"":0.93,""2019"":0.97,""2020"":0.92,""2021"":0.88,""2022"":0.87}",419,"[""10894/Case"",""7718/Movistar Riders"",""6290/Luminosity"",""5973/Liquid"",""7010/Immortals"",""6621/g3x"",""6033/Keyd"",""5822/KaBuM.TD""]",0,4,1,32,0,0,0,N/A
zqkS,7383,Caio Fonseca,Brazil,31,N/A,1,787,854,22178,14630,13843,1.06,28.9,69.5,0.76,"{""2012"":0.96,""2014"":0.79,""2015"":1.03,""2016"":0.97,""2017"":0.8,""2018"":1.06,""2019"":1,""2020"":1.05,""2021"":1.03}",314,"[""12065/Flamengo"",""11814/Corinthians"",""11723/HUMMER"",""11588/São Caetano"",""11445/ex-Imperial"",""9455/Imperial"",""6033/Keyd"",""10018/Inflames"",""8728/Yeah"",""7010/Immortals"",""4773/paiN"",""6620/AlienTech"",""5822/KaBuM.TD""]",0,1,0,0,0,0,0,N/A
SOKER,7388,Aitor Fernández,Spain,30,N/A,0.97,-442,645,16934,11508,11950,0.96,42.6,75.8,0.99,"{""2012"":0.84,""2013"":0.86,""2014"":0.89,""2015"":1.03,""2016"":1,""2017"":1.06,""2018"":0.95,""2019"":0.94,""2020"":0.83,""2021"":1.12}",146,"[""11615/Gravity 0"",""4468/x6tence"",""10592/Wygers"",""7718/Movistar Riders"",""6118/Tempo Storm"",""6222/k1ck"",""6124/Epsilon""]",0,0,0,0,0,0,0,N/A
ScreaM,7390,Adil Benrlitom,Belgium,29,N/A,1.09,3099,1428,37066,27481,24382,1.13,68.1,79.1,1.09,"{""2012"":1.3,""2013"":1.17,""2014"":1.05,""2015"":1.1,""2016"":1.11,""2017"":1.05,""2018"":1.08}",505,"[""9928/GamerLegion"",""9211/LeftOut"",""5991/Envy"",""5995/G2"",""5284/Titan"",""6134/Kinguin"",""4456/Epsilon"",""4467/VeryGames""]",0,9,6,56,1,2,2,7
dupreeh,7398,Peter Rasmussen,Denmark,30,N/A,1.07,4282,2085,54509,39488,35206,1.12,50.3,76.3,1.09,"{""2012"":1.06,""2013"":1.14,""2014"":1.15,""2015"":1.08,""2016"":1.09,""2017"":1.07,""2018"":1.1,""2019"":1.08,""2020"":1.06,""2021"":1.04,""2022"":0.97}",509,"[""9565/Vitality"",""6665/Astralis"",""6548/?"",""5996/TSM"",""5422/Dignitas"",""4548/CPH Wolves"",""4448/3DMAX""]",5,19,27,123,2,7,3,5
WorldEdit,7403,Georgi Yaskin,Russia,31,N/A,1.07,2453,1330,34767,25244,22791,1.11,28.1,75,1.04,"{""2012"":1.38,""2013"":1.02,""2014"":1.12,""2015"":1.05,""2016"":1.14,""2017"":1.07,""2018"":1.07,""2019"":1.02,""2020"":0.98}",402,"[""7898/pro100"",""9183/Winstrike"",""5988/FlipSid3"",""5593/dAT"",""4592/dAT""]",0,10,0,21,0,0,0,N/A
ub1que,7405,Alexey Polivanov,Russia,31,N/A,0.94,-496,491,12691,8319,8815,0.94,41.8,73.3,0.89,"{""2012"":0.98,""2013"":0.76,""2014"":0.8,""2015"":0.97,""2016"":0.98,""2017"":0.91}",162,"[""7489/EPG"",""6724/Preparation"",""6132/Method"",""5949/PiTER"",""5218/ACES"",""5593/dAT"",""4592/dAT""]",0,1,0,0,0,0,0,N/A
gla1ve,7412,Lukas Rossander,Denmark,28,N/A,0.98,-190,1859,49067,32131,32323,0.99,46.7,74,1.01,"{""2012"":0.97,""2013"":1.04,""2014"":0.94,""2015"":1.06,""2016"":1.04,""2017"":0.94,""2018"":1.04,""2019"":0.99,""2020"":0.93,""2021"":0.89,""2022"":0.89}",498,"[""6665/Astralis"",""7175/Heroic"",""7059/X"",""4548/CPH Wolves"",""4593/CPLAY"",""4448/3DMAX"",""4775/Western Wolves"",""4547/Anexis""]",4,13,19,85,1,1,1,8
smF,7414,Danni Dyg,Denmark,31,N/A,0.96,-396,856,22411,14284,14680,0.97,56.3,69.5,0.95,"{""2012"":0.95,""2013"":0.95,""2014"":1,""2015"":0.98,""2016"":0.97,""2017"":0.97,""2018"":1.01,""2019"":0.88,""2020"":0.92,""2021"":0.92,""2022"":0.92}",272,"[""11134/CEPTER"",""10970/DREAM"",""11461/SERA"",""8465/LPSP"",""11456/Linx Legacy"",""6978/Singularity"",""10488/Secret"",""7674/Ambush"",""8064/undefined"",""4548/CPH Wolves"",""5758/myXMG"",""5208/Reason"",""4445/FMESPORTS""]",0,3,0,0,0,0,0,N/A
HUNDEN,7415,Nicolai Petersen,Denmark,32,N/A,0.81,-6238,1578,41153,22470,28708,0.78,48.7,64.4,0.81,"{""2012"":0.81,""2013"":0.81,""2014"":0.75,""2015"":0.78,""2016"":0.83,""2017"":0.82,""2018"":0.82,""2019"":0.8}",288,"[""8362/MAD Lions"",""4602/Tricked"",""4501/ALTERNATE aTTaX"",""8064/undefined"",""4548/CPH Wolves"",""5208/Reason"",""5758/myXMG""]",0,1,1,13,0,0,0,N/A
Happy,7429,Vincent Schopenhauer,France,31,N/A,1.06,2739,1462,37912,28009,25270,1.11,41.3,77.5,1.02,"{""2012"":0.99,""2013"":1.11,""2014"":1.08,""2015"":1.13,""2016"":1.02,""2017"":1.04,""2018"":0.99,""2019"":1.01}",522,"[""4674/LDLC"",""9565/Vitality"",""5991/Envy""]",2,11,13,64,4,2,2,8
adreN,7433,Eric Hoag,United States,33,N/A,1,380,697,18241,12259,11879,1.03,35.3,76.5,0.91,"{""2012"":0.89,""2013"":0.89,""2014"":0.97,""2015"":1,""2016"":0.89,""2017"":1.14,""2018"":1.02,""2019"":0.92,""2020"":0.99}",254,"[""5973/Liquid"",""5479/Mythic"",""5231/iBUYPOWER""]",0,4,1,24,0,0,0,N/A
anger,7438,Todd Williams,United States,35,N/A,0.98,-229,682,17700,12065,12294,0.98,50.9,74.2,0.86,"{""2012"":0.79,""2013"":1.03,""2014"":0.92,""2015"":1,""2016"":0.97,""2017"":0.99,""2018"":0.98}",222,"[""5479/Mythic"",""4643/Denial"",""6386/Winterfox"",""6021/Luminosity"",""5543/NetcodeGuides.com"",""5231/iBUYPOWER"",""4624/Curse""]",0,2,1,14,0,0,0,N/A
Skadoodle,7440,Tyler Latham,United States,30,N/A,1.06,2458,1047,27129,18365,15907,1.15,24.8,67.5,1.02,"{""2012"":1.01,""2013"":1.14,""2014"":1.12,""2015"":1.13,""2016"":1.06,""2017"":1.04,""2018"":0.98}",379,"[""5752/Cloud9"",""5231/iBUYPOWER"",""4624/Curse""]",1,10,6,67,0,1,0,20
twist,7443,Simon Eliasson,Sweden,28,N/A,1.03,1705,1841,48993,34545,32840,1.05,41.5,76.8,1.04,"{""2012"":1.1,""2013"":1.1,""2014"":1.06,""2015"":1.12,""2016"":1.11,""2017"":1.08,""2018"":1.06,""2019"":0.99,""2020"":0.94,""2021"":0.96,""2022"":0.94}",591,"[""11984/ex-Finest"",""10276/Finest"",""11401/Savage"",""10764/Galaxy Racer"",""8543/MANS NOT HOT"",""4413/Lemondogs"",""4411/Ninjas in Pyjamas"",""4991/fnatic"",""7613/Red Reserve"",""6902/GODSENT"",""6685/Ancient"",""6407/DenDD"",""6168/1337"",""5319/Property"",""5988/FlipSid3"",""5028/LGB""]",0,5,0,39,0,0,0,N/A
Inzta,7463,Peter Kragelund,Denmark,30,N/A,0.94,-849,754,19798,12779,13628,0.94,43.9,72.5,0.93,"{""2012"":1.02,""2013"":1.12,""2014"":0.83,""2015"":0.96,""2016"":0.97,""2017"":0.96,""2018"":0.93,""2019"":0.86}",208,"[""8706/Ignite"",""7674/Ambush"",""4602/Tricked"",""6978/Singularity"",""5355/myKPV"",""4552/EYES ON U""]",0,0,0,0,0,0,0,N/A
Spiidi,7499,Timo Richter,Germany,27,N/A,0.98,276,2232,59461,38794,38518,1.01,40.4,73.9,0.95,"{""2013"":1.15,""2014"":1.05,""2015"":1.02,""2016"":0.95,""2017"":1.04,""2018"":1.01,""2019"":0.94,""2020"":0.95,""2021"":0.95,""2022"":1}",828,"[""4501/ALTERNATE aTTaX"",""10968/cowana"",""8637/Sprout"",""8452/Seed"",""4494/MOUZ"",""5395/PENTA"",""4686/EnRo GRIFFINS""]",0,7,0,22,0,0,0,N/A
alexRr,7508,Alexander Frisch,Germany,27,N/A,0.95,-554,433,11346,7438,7992,0.93,39.8,72.6,1.05,"{""2013"":0.97,""2014"":0.92,""2015"":1.02,""2016"":0.86,""2017"":1.04,""2018"":0.94,""2019"":0.91}",134,"[""10128/ad hoc"",""9393/expert"",""9062/FriendlyFire"",""7425/DIVIZON"",""5195/Planetkey""]",0,1,0,0,0,0,0,N/A
denis,7511,Denis Howell,Germany,28,N/A,0.95,-1863,1840,48974,32914,34777,0.95,44.3,75.1,0.94,"{""2013"":1.01,""2014"":1,""2015"":0.94,""2016"":0.91,""2017"":0.96,""2018"":1.04,""2019"":0.95,""2020"":0.95,""2021"":0.9}",378,"[""10968/cowana"",""8637/Sprout"",""7532/BIG"",""8452/Seed"",""4494/MOUZ"",""5395/PENTA"",""4686/EnRo GRIFFINS""]",0,9,0,28,0,0,0,N/A
pyth,7527,Jacob Mourujärvi,Sweden,29,N/A,1,-5,756,19801,13677,13682,1,56,70.3,0.97,"{""2013"":1.11,""2014"":1.05,""2015"":1.08,""2016"":0.95,""2017"":0.87,""2018"":0.97,""2019"":0.89,""2020"":0.97}",250,"[""8020/Vexed"",""9085/Chaos"",""8721/Enyoy"",""6902/GODSENT"",""4411/Ninjas in Pyjamas"",""6386/Winterfox"",""5479/Mythic"",""6021/Luminosity"",""5766/Orbit"",""4983/n!faculty""]",0,1,2,20,0,0,0,N/A
KRIMZ,7528,Freddy Johansson,Sweden,29,N/A,1.05,3164,1929,50879,35532,32368,1.1,41,76,1.04,"{""2013"":1.06,""2014"":1.09,""2015"":1.12,""2016"":1,""2017"":0.99,""2018"":1.07,""2019"":1.05,""2020"":1.04,""2021"":0.98,""2022"":1.01}",676,"[""4991/fnatic"",""6902/GODSENT"",""5028/LGB""]",2,16,21,90,5,5,3,7
SAGGERTON,7529,Saku Jokinen,Finland,27,N/A,0.99,-231,540,14097,9723,9954,0.98,42.6,75.4,0.85,"{""2013"":0.86,""2014"":0.91,""2015"":1.03,""2016"":1.04,""2017"":0.94}",152,"[""7331/iGame.com"",""7028/LGR"",""4682/RCTIC"",""6220/Epiphany Bolt""]",0,0,0,0,0,0,0,N/A
xartE,7537,Mikko Välimaa,Finland,31,N/A,0.91,-1800,1178,30948,18678,20478,0.91,37.3,69.5,0.83,"{""2013"":0.88,""2014"":0.98,""2015"":0.93,""2016"":0.86,""2017"":0.98,""2018"":0.93,""2019"":0.9,""2020"":0.91,""2021"":0.86,""2022"":0.69}",357,"[""10116/hREDS"",""8504/SJ"",""7331/iGame.com"",""7865/HAVU"",""5727/ENCORE"",""4869/ENCE"",""4475/ROCCAT"",""5789/3DMAX""]",0,1,0,7,0,0,0,N/A
device,7592,Nicolai Reedtz,Denmark,27,N/A,1.16,7916,1927,50304,39156,31246,1.25,34.8,80.4,1.19,"{""2013"":1.17,""2014"":1.15,""2015"":1.16,""2016"":1.19,""2017"":1.12,""2018"":1.19,""2019"":1.18,""2020"":1.15,""2021"":1.11,""2022"":1.2}",648,"[""6665/Astralis"",""4411/Ninjas in Pyjamas"",""6548/?"",""5996/TSM"",""5422/Dignitas"",""4548/CPH Wolves""]",4,16,24,105,19,8,6,2
flamie,7594,Egor Vasilyev,Russia,26,N/A,1.02,1256,1726,45788,31619,30363,1.04,54.6,74.5,1.03,"{""2013"":1.06,""2014"":1.11,""2015"":1.07,""2016"":1.05,""2017"":1.04,""2018"":1.03,""2019"":1.01,""2020"":0.93,""2021"":0.94,""2022"":0.92}",512,"[""12380/CYBERSHOKE"",""12044/Boston crab"",""10621/1WIN"",""10371/NAVI Junior"",""4608/Natus Vincere"",""5593/dAT"",""5004/USSR""]",0,12,14,76,2,2,0,12
nitr0,7687,Nick Cannella,United States,27,N/A,0.98,87,1541,40388,26658,26571,1,44.5,70.4,0.98,"{""2014"":1.02,""2015"":1.1,""2016"":1.01,""2017"":0.97,""2018"":1.01,""2019"":0.99,""2020"":0.85,""2022"":0.85}",437,"[""5973/Liquid""]",0,12,9,88,0,0,0,N/A
robiin,7700,Robin Sjögren,Sweden,28,N/A,1,24,1607,42847,29482,29458,1,47.8,80.1,0.96,"{""2013"":0.99,""2014"":1.18,""2015"":1.05,""2016"":1.04,""2017"":1,""2018"":0.97,""2019"":1,""2020"":0.97,""2021"":1,""2022"":0.96}",469,"[""12095/Into the Bin"",""9735/Lilmix"",""11278/Coalesce"",""10276/Finest"",""11245/X Gamer"",""8543/MANS NOT HOT"",""7234/Endpoint"",""10420/Phoenix"",""4688/Epsilon"",""6978/Singularity"",""7454/Gatekeepers"",""7663/Manatee"",""6407/DenDD"",""4445/FMESPORTS"",""5319/Property""]",0,1,0,0,0,0,0,N/A
chopper,7716,Leonid Vishnyakov,Russia,26,N/A,0.96,-451,1208,32143,20880,21331,0.98,57.3,71.9,0.95,"{""2013"":1.01,""2014"":0.91,""2015"":0.99,""2016"":1.02,""2017"":1.03,""2018"":0.97,""2019"":0.92,""2020"":0.98,""2021"":0.89,""2022"":0.99}",342,"[""7020/Spirit"",""6094/Vega Squadron"",""6668/FLuffy Gangsters""]",0,7,0,13,0,0,0,N/A
queztone,7749,Richard Strnátko,Slovakia,27,N/A,1.02,235,709,18569,13135,12900,1.02,44.7,77.1,1.01,"{""2013"":1.19,""2014"":0.91,""2015"":1.09,""2016"":1.04,""2017"":1.04,""2018"":0.96,""2019"":0.91,""2021"":0.85}",209,"[""10695/Sampi"",""4978/GUNRUNNERS"",""6745/eXtatus"",""5310/HellRaisers"",""6410/nEophyte"",""4573/Fraternitas""]",0,0,0,0,0,0,0,N/A
juho,7775,Juho Lampinen,Finland,28,N/A,1.02,128,785,20665,14997,14869,1.01,46.1,78.4,0.95,"{""2013"":1.13,""2014"":1.25,""2015"":1.03,""2016"":1.01,""2017"":1.04,""2018"":1.03,""2019"":1,""2020"":0.98,""2021"":0.79,""2022"":0.75}",174,"[""9802/Budapest Five"",""9964/FcottoNd"",""10116/hREDS"",""9613/cats"",""7865/HAVU"",""8504/SJ"",""7331/iGame.com"",""4869/ENCE"",""5595/nerdRage""]",0,0,0,0,0,0,0,N/A
wayLander,7796,Jan Rahkonen,Russia,29,N/A,0.91,-1715,794,20857,13258,14973,0.89,51.8,70.8,0.88,"{""2013"":1.02,""2015"":1.03,""2016"":0.93,""2017"":0.9,""2018"":0.94,""2019"":0.88}",201,"[""7898/pro100"",""9183/Winstrike"",""5988/FlipSid3"",""6651/Gambit"",""5949/PiTER""]",0,6,0,0,0,0,0,N/A
spiker,7797,Alexander Ivanov,Russia,29,N/A,0.89,-974,415,10974,6837,7811,0.88,42.7,71.5,0.68,"{""2013"":0.85,""2014"":0.92,""2015"":0.88,""2016"":0.86,""2017"":0.89,""2018"":0.9,""2019"":0.96,""2020"":1.19}",123,"[""10818/Save's"",""9182/Monolith"",""6684/Empire"",""6472/Rebels"",""6408/Arcade"",""5949/PiTER"",""4742/Nostalgie""]",0,0,0,0,0,0,0,N/A
RUSH,7805,William Wierzba,United States,29,N/A,0.97,-389,1569,41079,27154,27543,0.99,47.2,71.9,0.98,"{""2013"":0.77,""2014"":0.77,""2015"":1.03,""2016"":1.07,""2017"":1.04,""2018"":0.97,""2019"":0.9,""2020"":0.9,""2021"":0.84,""2022"":0.97}",390,"[""10399/Evil Geniuses"",""11735/EG Black"",""5005/Complexity"",""5752/Cloud9"",""6615/OpTic"",""6292/Conquest"",""5775/ELEVATE"",""8221/Tempo Storm""]",1,5,4,55,1,0,0,N/A
freakazoid,7808,Ryan Abadir,United States,30,N/A,0.99,-199,995,25621,17739,17938,0.99,47.2,77.9,0.91,"{""2013"":1.07,""2014"":1.26,""2015"":0.94,""2016"":0.95,""2017"":1.13,""2018"":1.05,""2019"":0.96,""2020"":0.95,""2022"":0.92}",214,"[""5479/Mythic"",""7726/Swole Patrol"",""7106/eUnited"",""7801/Ghost"",""6680/Echo Fox"",""5752/Cloud9""]",0,3,0,22,0,0,0,N/A
